code,title,level,ects,description,topics,filename
B-739-01,Data Science Fundamentals,Bachelor,6,"this course is to instruct students in the data science proces and introduce a wide range of data science tols such as inferential statistics, clasification and regresion, also to learn students to produce R code to perform data exploration, analysis and modeling using diferent data types.",,Subject_B_739_01_en.pdf
B-740-01,Web Programing,Bachelor,6,,,Subject_B_740_01_en.pdf
B-741-01,System Analysis and Modeling,Bachelor,6,,,Subject_B_741_01_en.pdf
B-742-01,Blockchain Technologies,Bachelor,6,"# Learning outcome LO1 Know the terminology of Blockchain theory, Blockchain theory basics, and the concept of cryptocurency. 1 Learning outcomes LO2 Be able to aply diferent Blockchain technics for real-world tasks and have skil in Blockchain construction and aplication. LO3 Ability to recognize security, management, financial problems in aplication areas and state them in a proper mathematical form and practical aply Blockchain theory to profesional problems.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Introduction to Blockchain 6 W1 W2 L Blockchain Consensus 6 W3 W4 L Hyperledger Fabric 6 W5 W6 L Bitcoin, Ethereum, and Decentralized Aplications 10 W7 W8 P Cryptocurency Management 2 W7 W8 L Decentralized Finance and Economics 6 W9 W10 L Privacy on a Public Blockchain 6 W1 W12 L Scalability in Blockchain 6 W13 W14 L Blockch",Subject_B_742_01_en.pdf
B-743-01,Introduction to Scientific Research,Bachelor,3,,,Subject_B_743_01_en.pdf
B-74-01,Cloud Computing & Internet of Things,Bachelor,6,"# Learning outcome LO1 Describe the IoT and Cloud architectures 1 Learning outcomes LO2 Determine the right sensors and comunication protocols to use in a particular IoT system LO3 То deploy Cloud Services using diferent cloud technologies. LO4 Implement elements of cloud computing such as virtual machines, web aplications, mobile services, etc. LO5 Implement security features to protect data stored in the cloud.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Trends of Computing 4 W1 W1 L Introduction to IoT 4 W2 W2 L IoT Architectures 4 W3 W3 L IoT Devices and Sensors 4 W4 W4 L IoT comunication and protocols 4 W5 W5 L Cloud Computing Fundamentals 4 W6 W6 L Cloud Computing Architectures 4 W7 W7 L Cloud Types and Services 4 W8 W8 P Cloud Services 4 W9 W9 L Virtualization and Resou",Subject_B_744_01_en.pdf
B-745-01,Quantum Computing,Bachelor,3,"# Learning outcome LO1 Demonstrate proficiency with the mathematics behind quantum algorithms, such as unitary operators and quantum gates. LO2 Understand the major quantum computing algorithms, such as Grover and Shor. 1 Learning outcomes LO3 Compare and contrast the thre main hardware platforms: transmon qubit (IBM Q), traped ion (IonQ), and quantum anealing (D-Wave). LO4 Program the simplest quantum operations.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Intro to quantum mechanics. 4 W1 W2 L Various physical realizations of quantum computing, such 6 W3 W4 as transmon qubit (IBM Q), traped ion (IonQ), and quantum anealing (D-Wave). L Quantum states and qubits. 2 W5 W6 L Quantum gates including Hadamard, Pauli-XYZ, Tofoli, 4 W7 W8 Fredkin, Qiskit. L Quantum algorithms such as ",Subject_B_745_01_en.pdf
B-747-01,Entrepreneurial Skils for the Information Technology Industry,Bachelor,6,"# Learning outcome LO1 Apreciate and aply a range of skils required to sucesfuly launch a hi-tech start-up and/or new product or service LO2 Develop a busines model and a busines action plan LO3 Analyse market oportunities for a new hi-tech product using heterogeneous, multi- sourced data LO4 Plan and execute a campaign to promote a new product to likely customers LO5 Plan and organise a demonstration of a prototype for the new service or product",,Subject_B_747_01_en.pdf
B-748-01,Computer Graphics,Bachelor,6,,,Subject_B_748_01_en.pdf
B-749-01,Cloud Services Integration,Bachelor,3,"# Learning outcome LO1 Evaluate and compare diferent types of aplication network architecture aproaches (ie SOA, Microservices) and the API development lifecycle. LO2 Independently design, develop and test a new API (Aplication Programing Interface) or improve an existing API, using apropriate tols.",,Subject_B_749_01_en.pdf
B-750-01,Software Enginering,Bachelor,12,,,Subject_B_750_01_en.pdf
B-751-01,Computer Networks,Bachelor,6,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Networking Today. Advances in modern network 4 W1 technologies. P Basic Switch and End Device Configuration 4 W2 L Protocols and Models 4 W3 L Physical Layer 4 W4 P Number Systems 4 W5 L Data Link Layer. Ethernet Switching 4 W6 L Network Layer 4 W7 L Adres Resolution 4 W8 P Basic Router Configuration 4 W9 L IPv4 and IPv6 Adr",Subject_B_751_01_en.pdf
B-752-01,English for Information Technologies,Bachelor,3,"LO4 Ability to participate in oral comunication on profesional topics related to the area of IT LO5 Ability to use syntactic structures necesary to infer semantic information LO6 Ability to use the developed English language skils in complex and new profesional contexts, and for further profesional self-development","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 P Topics in Hardware (Hardware basics, computer 8 W1 W4 architecture, memory organisation, peripheral devices, I/ O functions, computer networking peripheral) P Topics in software (computer software, operating systems, 6 W5 W6 history of OS, computer viruses) P Programing (basics in programing, creating a program, 6 W7 W8 prog",Subject_B_752_01_en.pdf
