code,title,level,ects,description,topics,filename
M-90-01,Artificial Inteligence Group Project,Master,9,"# Learning outcome LO1 Demonstrate logical examination of information and coherent rationale for decisions. LO2 Develop modern software solutions, integrating ethical, social, legal and economic aspects. LO3 Design, develop, maintain, test and evaluate a novel data analytic, machine learning, and/or artificial inteligence solution and aply this to a real-world context.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L M-404-01: Economics of Artificial Inteligence 4 W1 W7",Subject_M_900_01_en.pdf
B-02-04,Introduction to Speciality,Bachelor,3,"# Learning outcome 1 Learning outcomes LO1 To name the basic direction of the Computer Science development, list basic requirements of the institute study proces, and discus the structure and main content of the education program. LO2 To describe the posible areas of profesional activity after graduation, to understand the relationship betwen computer systems, aplications, programing and programing languages. LO3 Use the information environment of the Institute for the learning proces.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Structure of the TSI. The main requirements of the 2 W1 W2 educational proces at the institute. L Guidelines for the organization of training activities at the 2 W2 W3 university. L Review of discipline. The history of computer science. 2 W3 W4 L Computer architecture. Data storage. Procesing data. 2 W4 W5 L Operating system",Subject_B_002_04_en.pdf
B-03-04,Programing,Bachelor,9,,,Subject_B_003_04_en.pdf
B-03-06,Programing,Bachelor,12,"# Learning outcome LO1 Aply basic principles of algorithmization LO2 Use basic concepts and methods in programing LO3 Aply basic data structures 2 Learning outcomes LO4 Use high level programing language (as example C+, Python) to solve programing problems LO5 Understand the development stages of a program LO6 Implement algorithms and data procesing methods using high level programing language LO7 Use development environments and debugers for program development and testing",,Subject_B_003_06_en.pdf
B-04-04,Programing CW,Bachelor,3,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Software lifecycle. Software development stages (project 4 asignment, work stages developing the project software, task analysis). User interface design basics (implementing a simple user 6 interface) Program constructs usage in practice. Modular programs 6 (detailed design of software through task decomposition and algorithm ",Subject_B_004_04_en.pdf
B-05-04,Discrete Mathematics,Bachelor,6,"this course is to instruct students in methods and models of computer mathematics: logical functions, logical networks, finite automaton, graph theory, flows in networks, algorithm theory, formal systems (theories), using modern software such as Python, SMath or any other.",,Subject_B_005_04_en.pdf
B-06-04,Data Structures and Algorithms,Bachelor,6,"# Learning outcome LO1 to know diferent data structures implementation and aplication in software design and basic algorithms of data structures procesing LO2 to design diferent data structures, to realise basic algorithms of diferent data structures procesing, and to evaluate the eficiency of these algorithms (abilities) LO3 to chose for each task optimal data structures and their procesing algorithms (competences)",,Subject_B_006_04_en.pdf
B-07-04,Probability Theory and Mathematical Statistics,Bachelor,6,,,Subject_B_007_04_en.pdf
B-08-04,Database and Data Banks,Bachelor,6,"# Learning outcome LO1 Know the main steps of development of the data bases and their content, as wel as the technologies used for development of the data bases LO2 Be able to model subject area, create data base using diferent Data Base Management Systems LO3 Be competent in building the set of requirements and functions of the developed system, as wel in chosing Data Base Management Systems for fulfiling the data base, basing on the set targets",,Subject_B_008_04_en.pdf
B-09-04,Computer Systems Structure,Bachelor,12,"the course is to provide a solid foundation to suport the development of software aplications, efectively using the potential of computer tols. | # Learning outcome LO1 Identify the basic elements of hardware and explain their functions and how they fit together to form a diferent computer architectures LO2 Explain and demonstrate how data is represented, manipulated and stored within a computer system LO3 Prepare and test simple programs for microprocesors systems",,Subject_B_009_04_en.pdf
B-010-04,Programing Languages Concepts,Bachelor,6,"# Learning outcome LO1 Know the basic principles and concepts that define the construction and aplication programing language LO2 Aply diferent PLs LO3 Have a suficient background in programing languages, quickly adapt to new scientific and practical achievements in the field of PLs","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Defining and problems of pro-graming languages 4 W1 Types of Programing Languges L The expresions in programing languages 4 W2 L The syntax and gramars 6 W3 Parsing and derivations P Practical asignment 1 4 W4 1 Sylabus and Study plan L The gramar for expresions 6 W5 Versions of gramars L The actions and statements in the pr",Subject_B_010_04_en.pdf
B-012-04,Optimization Methods,Bachelor,3,,,Subject_B_012_04_en.pdf
B-013-04,Operating systems,Bachelor,6,LO3 Write shel scripts in Linux and Windows to execute some tasks Write and aply for tasks complex regular expresions Consider resource management tols in operating systems,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction. 2 Proceses and Threads. 4 Memory Management. 8 Input/Output. 8 File Systems. 8 UNIX. 4 Microsoft Windows. 4",Subject_B_013_04_en.pdf
B-014-04,Object-Oriented Programing,Bachelor,6,"# Learning outcome LO1 Describe the principles of object-oriented programing; 1 Learning outcomes LO2 Formulate OP problems as steps so as to be solved systematicaly. LO3 Design and develop object-oriented computer programs; LO4 Aply the concepts of data encapsulation, inheritance, and polymorphism to large-scale software. LO5 Design and develop programs with Graphical User Interfaces capabilities. LO6 Develop O software with team-work in mind.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Overview of the O Paradigm. 4 W1 W1 L Clases and Encapsulation. 4 W2 W2 L Methods and polymorphism. 4 W3 W3 L Inheritance and Abstraction. 4 W4 W4 L Interfaces and abstract clases. 4 W5 W5 L Instances. 4 W6 W6 L Events and Delegates. 4 W7 W7 L Exceptions. 4 W8 W8 P Data Binding. Graphical User Interfaces Programing. 4 W9 W9 ",Subject_B_014_04_en.pdf
B-015-04,Logical Programing,Bachelor,3,"LO2 Creating simple programs in Prolog language; Reading Prolog programs created by others, using those as examples to solve problems; Disecting the subject area into phrases, then translating phrases into predicate expresions. LO3 Using logic programing to solve practical problems; Widening personal knowledge in logic programing, relying on experience from this course.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to logic programing. 2 Predicate logic. 2 Prolog languague. Elemets, syntax. 4 Relations, rules, structures. 4 Declarative and procedural meaning. 4 Automaton representaion in Prolog. 4 Lists and structure tres. 4 Route planer. 2 Ches – „Eight Quens Problem”. 4 Manipulating tres. 2",Subject_B_015_04_en.pdf
B-019-04,Software Enginering,Bachelor,9,,,Subject_B_019_04_en.pdf
B-02-04,Compiler Construction,Bachelor,6,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction in automation of programing. 4 Formal systems. 6 The lexical analysis and programing of the lexical 0 analyzer (scaner). Parsing and programing of a parser. 10 The internal form of representation of the initial program 6 and semantics of tables. Procedures of the semantic analysis. 8 Machine-independent optimizati",Subject_B_022_04_en.pdf
B-024-04,Methods of Computer Procesing of Statistical Data,Bachelor,6,"# Learning outcome LO1 Modern statistical methods of data analysis LO2 Use statistical methods and visualization to quickly explore data Aply statistics and computational analysis to make predictions based on data Aply basic computer science concepts such as modularity, abstraction, and encapsulation to data analysis problems LO3 Efectively comunicate the outcome of data analysis using descriptive statistics and visualizations",,Subject_B_024_04_en.pdf
B-025-04,Numerical Methods in Computer Calculations,Bachelor,6,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Sources and main reasons of erors in computer 4 calculations. Conditionaly of tasks, stability and convergence of 2 methods. Direct and iterative methods of the decision of systems of 10 linear equations. Local and global interpolation. Aproximation. 10 Aplication of methods of numerical diferentiation and 6 integration. Itera",Subject_B_025_04_en.pdf
B-027-04,Systems Modeling,Bachelor,6,,,Subject_B_027_04_en.pdf
B-058-05,Foreign Language,Bachelor,3,the course is to help students enhance their knowledge of English so that they are more prepared for subsequent profesional English courses. | LO6 Ability to use enhanced English language skils for further profesional self-development,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 P Shoping and consumerism, payments. Money: credits, 4 W1 W2 debt. Tenses. P Work, work satisfaction, key recruitment factors, global 6 W2 W4 employment markets. Pasives. P Studies and learning. Nouns and articles. 4 W4 W6 P Technologies in diferent aspects of life and societies. 4 W7 W9 Prepositions. P Travel and transport in",Subject_B_058_05_en.pdf
B-103-04,Higher Mathematics,Bachelor,15,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Linear algebra 14 Vector algebra 12 Analytic geometry 12 Intermediate exam 2 Function, main concepts and characteristics 12 Limits of the numerical sequences and limits of the 10 functions of one variable Coloquium 2 Continuity of function 6 1 Sylabus and Study plan Derivative of function, interpretations and computation 10 Ap",Subject_B_103_04_en.pdf
B-103-06,Higher Mathematics,Bachelor,12,# Learning outcome LO1 Able to think abstractly and concretely; reason in a consistent and corect way; apreciate mathematics as a universal language of science. LO2 Understands and operates with basic concepts of higher mathematics; knows modern aproaches to solving basic modern problems; aplies basic concepts to solving basic real-world problems. LO3 Tailors and combines diferent methods to eficiently solve problems; formulates and solves problems paying atention to subtleties.,,Subject_B_103_06_en.pdf
B-106-06,Inteligent systems,Bachelor,9,"# Learning outcome LO1 Compare and contrast modern Artificial Inteligence techniques, and with those traditionaly asociated with complex problems 1 Learning outcomes LO2 Identify the isues asociated with the aplication of modern Artificial Inteligence techniques, including any ethical isues, and evaluate chalenges presented LO3 Demonstrate the ability to select apropriate paradigms and solve one or more problems with Artificial Inteligence techniques","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Search spaces and problem types (NP, non-stationary, 6 W1 multi-objective, etc) L Population-based search - simulated evolution (EAs) 6 W2 L Knowledge representations in EAs 6 W3 L Other population-based search techniques - artificial 6 W4 swarms L Hybridising local and population-based search 4 W5 L Training and testing – s",Subject_B_106_06_en.pdf
B-125-03,Computer Networks,Bachelor,24,"# Learning outcome LO1 - Understand the basics of routing, switching, and advanced networking technologies to prepare for the entry-level networking carers. - Know the terminology used to describe networking concepts. - Have and develop critical thinking, problem solving, colaboration, and the practical aplication of skils. LO2 LO3",,Subject_B_125_03_en.pdf
B-135-03,Embeded Electronic Devices and Programing,Bachelor,3,# Learning outcome LO1 the principles of embeded electronic devices design using microcontrolers LO2 programing and debuging software for microcontrolers LO3 use and development of microcontroler operation algorithms,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Principles of designing embeded devices. 2 The structural elements of the AVR with RISC architecture. 2 Tols and software of designing embeded devices. Steps 2 of AVR microcontrolers programing in С/C+. Programing of microcontroler I / O ports. 6 Procesing of external interupts. 4 Programing of microcontroler timers. 6 Program",Subject_B_135_03_en.pdf
B-137-04,Management Information Systems,Bachelor,3,# Learning outcome LO1,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Procedures of expert measurement. 0 Methods of quantitative estimation of complex systems. 0 Control. Control components: control object, control 0 objective, model of a system as control means, and control system. Peculiarities of social systems control. Information systems of enterprise control. System 0 aproach in their ana",Subject_B_137_04_en.pdf
B-148-04,Busines Comunication in Profesional Activities,Bachelor,3,,,Subject_B_148_04_en.pdf
B-17-04,Software Project Management,Bachelor,3,the course is to equip students with the basic knowledge and skils required for managing software projects and delivering a software product that mets stakeholders' expectations. | # Learning outcome LO1 Discus project management proceses and methodologies LO2 Recognize the importance and the necesity of Project management in software development LO3 Identify requirements elicitation techniques and define project scope LO4 Develop a schedule for the software development project activities,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Introduction to the course content 2 W1 W1 The project, its atributes, and stakeholders Project management Project manager L Project management proceses 2 W2 W2 L Project management methodologies 2 W3 W3 L Project requirements: types of requirements, elicitation 6 W4 W6 techniques Project scope WBS Project resources and thei",Subject_B_177_04_en.pdf
B-184-05,User Experience (UX) Design,Bachelor,6,"# Learning outcome LO1 Discus modern and clasic UX design methods and techniques. LO2 Apreciate the importance of cognitive principles in UX design. LO3 Analyze interaction design problems, justify the proces, and identify trade-ofs LO4 Identify the proces of user experience design as a cyclical and iterative proces LO5 Aply relevant and modern aproaches, tols, and techniques when creating a Hi-Fi UX prototype for the given Busines scenario. LO6 Manage UX design project",,Subject_B_184_05_en.pdf
B-216-04,System Programing,Bachelor,6,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to System Programing 2 Operating System architecture 2 The use of bitwise operations 4 Introduction to WinApi 4 GUI programing by WinApi 8 Obtaining system parameters data 4 1 Sylabus and Study plan Low-level working with files 4 Administration of the registry 4 Proces Management. Data exchange betwen proceses 12 ",Subject_B_216_04_en.pdf
B-24-04,Functional Programing,Bachelor,3,"# Learning outcome LO1 Understand the concepts of functional programing and lambda-calculus LO2 Able to solve simple programing tasks and define apropriate data types and read programs created by others LO3 Chose apropriate decompositions of given problems and compose coresponding functional programs from suitable function definitions, including their types","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Functional programing style 2 W1 L Data types 2 W2 P 1st Practical asignment: Introduction to functional 4 W3 programing L Recursion 2 W4 L Lambda-calculus 4 W5 P 2nd Practical asignment: Recursion 4 W6 L Scala programing language in functional paradigm. 4 W7 L LISP programing language 2 W8 P 3rd Practical asignment: Tasks 8",Subject_B_244_04_en.pdf
B-245-04,Aplication development with Java,Bachelor,3,"# Learning outcome LO1 Java language, Dependency injection with Spring, Evolution of distributed systems, Microservice architecture concept, 12 factor aplication principles; LO2 Java programing language, work with Spring Tols Suite, aply MVC design patern in practice, build distributed aplications with microservice architecture; 1 Learning outcomes LO3 work with Java programing language, work with Spring Tols Suite.","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to Java Programing Language 2 Java syntax 4 OP in Java 2 Memory management in Java 1 Java Generics 1 Basic I/O operations 4 JDBC Database Aces 4 MVC design patern 2 Dependency injection with Spring Framework 4 Evolution of distributed aplications 2 Microservice architecture 4 12 Factor Ap principles 2",Subject_B_245_04_en.pdf
B-250-05,English for Carer Management,Bachelor,3,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 P Job aplication proces 4 W1 W3 P Writing an impresive CV 4 W4 W7 P Efective cover leters 8 W8 W1 P Sucesful interviews, sucesful presentations 8 W12 W14 P Folow up. Dealing with job ofers. Negotiating terms and 8 W15 W16 conditions",Subject_B_250_05_en.pdf
B-254-05,Foreign Language,Bachelor,3,the course is to help students enhance their knowledge of English so that they are more prepared for subsequent profesional English courses. | LO6 Ability to use enhanced English language skils for further profesional self-development,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 P Shoping and consumerism, payments. Money: credits, 4 W1 W2 debt. Tenses. P Work, work satisfaction, key recruitment factors, global 6 W2 W4 employment markets. Pasives. P Studies and learning. Nouns and articles. 4 W4 W6 P Technologies in diferent aspects of life and societies. 4 W7 W9 Prepositions. P Travel and transport in",Subject_B_254_05_en.pdf
B-254-06,Foreign Language 2,Bachelor,3,"LO4 Ability to participate in oral comunication on profesional topics related to the area of IT LO5 Ability to use syntactic structures necesary to infer semantic information LO6 Ability to use the developed English language skils in complex and new profesional contexts, and for further profesional self-development","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 P Topics in Hardware (Hardware basics, computer 8 W1 W4 architecture, memory organisation, peripheral devices, I/ O functions, computer networking peripheral) P Topics in software (computer software, operating systems, 6 W5 W6 history of OS, computer viruses) P Programing (basics in programing, creating a program, 6 W7 W8 prog",Subject_B_254_06_en.pdf
B-306-04,Group project,Bachelor,3,LO5 Document and present the developed software product to stakeholders.,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Agile methodologies in software development projects 4 W1 W2 P Inception 4 W3 W4 P Elaboration 6 W5 W8 P Construction 8 W9 W12 P Transition 4 W13 W14 L Documentation for software products (writing a project 2 W14 W15 report paper) P Preparing a report (presentation) 4 W15 W16",Subject_B_306_04_en.pdf
B-318-04,Object-Oriented Programing CP,Bachelor,0,# Learning outcome LO1 LO2 LO3,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 0",Subject_B_318_04_en.pdf
B-319-04,Academic Skils and Critical Thinking,Bachelor,6,"LO3 Comunicate both proceses and results efectively, in a variety of media (e.g. writen and oral) in a narowly defined context LO4 Work efectively in groups, adapting their behavior to met their obligations to others LO5 Reflect upon their activities against given criteria","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 P Academic Skils and Critical Thinking / Information, 6 W1 W2 Systems and Comunication P Hard Skils vs Soft Skils and Presentation Skils 6 W2 W3 P Research Skils and Critical Evaluation 6 W4 W5 P Making a busines case 6 W5 W6 P Busines Modeling 6 W6 W7 P Profesionalism/Reflective Skils 6 W7 W8 P Efective Metings, Note Taking a",Subject_B_319_04_en.pdf
B-320-04,Foundations of AI,Bachelor,6,"# Learning outcome LO1 Identify diferent types of problem (optimisation, modeling, simulation), and asociated state-based models LO2 Explain the concept of learning as search, and ilustrate diferent individual and population-based search methods LO3 Identify diferent paradigms for representing problems and knowledge, and explain their main features and diferences LO4 Design and implement inteligent solutions using at least two diferent architectures","Learning outcomes # Learning outcome LO1 Identify diferent types of problem (optimisation, modeling, simulation), and asociated state-based models LO2 Explain the concept of learning as search, and ilustrate diferent individual and population-based search methods LO3 Identify diferent paradigms for representing problems and knowledge, and explain their main features and diferences LO4 Design and i",Subject_B_320_04_en.pdf
B-323-04,Artificial Inteligence Chalenges and Research,Bachelor,6,,,Subject_B_323_04_en.pdf
B-324-04,Information Technology Project Management,Bachelor,6,"LO4 Test and criticaly evaluate the completed product and justify how it met the beneficiaries' / sponsor’s requirements LO5 Criticaly evaluate your own role, and the team’s performance in managing a project","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 L Methodical aproach to project management 6 W1 W2 L Resource identification and requirement analysis 6 W3 W4 L Agile project planing and management 6 W5 W6 L Team dynamics, efective working and managing 6 W7 W8 chalenges L Folow an Agile software development proces such as 6 W9 W10 SCRUM to iteratively progres towards defined",Subject_B_324_04_en.pdf
B-326-04,Bachelor's Thesis (CS),Bachelor,15,,"Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 S Bachelor Thesis development 0 W1 W10",Subject_B_326_04_en.pdf
B-329-04,Database and Data Banks (CP),Bachelor,3,"# Learning outcome LO1 1.Stages of database design 2. Algorithm for the development of the relational model ""entity-relationship"" 3. The basis for documenting the software product 1 Learning outcomes LO2 1.Use specific DBMS to create databases 2. Use aplication development tols 3. Work with reference literature and other information sources LO3 1. Design and implementation of relational databases 2. Identification and elimination of problems when designing databases 3. Selecting and using DBMS","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Description of the proces of development of the 2 reference and information system in the DBMS environment (task for course work, stages of work on the course). Fundamentals of documenting a software product (writing a report) Analysis of the subject area. Development of a database 4 model Designing functions of system and its",Subject_B_329_04_en.pdf
B-33-04,Web Aplication Construction,Bachelor,3,"# Learning outcome LO1 knowledge in web-aplication development technologies; LO2 skils to create web-pages using XHTML markup language, control web-page elements using CS, ad dynamic elements to the page using JavaScript; LO3 competences to analyse, design, implement and test web aplications using widespread tols and technologies;","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Introduction to Web. Basic terms. Basic principles and 2 stages of development of Web sites Web-site and web-page types. Types of layout and 6 designs. Web-site logical organization models Basic elements and structure of HTML document. Block 2 level elements. Inline elements. Built-in physical and logical formating styles Pict",Subject_B_333_04_en.pdf
B-352-05,Profesional English for Information Technologies,Bachelor,9,"# Learning outcome 1 Learning outcomes LO1 know profesional vocabulary on the given topics and basic gramatical structures; be able to speak and write with confidence, improve their reading comprehension skils in the chosen area of specialization; be able to use the obtained knowledge to expres their opinions, read authentic texts, comunicate on profesional topics for their profesional growth. LO2 LO3","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Electric curent 0 Electronic principles. Electronic circuits 0 Basic principles of radio and television 0 Radio devices 0 The telephone 0 Computer hardware 0 Computer software 0 Telecomunications networks 0 Cable – Wireles telecomunications 0",Subject_B_352_05_en.pdf
B-353-05,English for Carer Management,Bachelor,3,"the course is to depen the practical language skils which are necesary for carer management. | LO2 LO3 Obligatory reading list • C. Downes. Cambridge Englisjh for Job Hunting. Cambridge, 2010. • Wiliams, E. J. Presentations in English. UK: Macmilan Publishers limited, 208 • Jane Hudson, Tim Fala, Paul A Davies. Solutions, Students’ Bok, Workbok. Advanced. 2012 Addititional reading list • Online resources: • ww.oup.com/elt • htp:/ww.englisch-hilfen.de/en/exercises_list/ale_gramar.htm • htp:/ww.5minutenglish.com/feb28.htm","Type Themes/Actitivity Contact hours, h Week Full-titime From To Part 1 Job aplication proces 0 Writing an impresive CV 0 Efective cover leters 0 Sucesful interviews 0 Sucesful presentations 0 Dealing with job ofers. 0 Negotiating terms and conditions 0",Subject_B_353_05_en.pdf
