university,programme,programme_code,faculty,level,course_code,course_name,ects
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0945,Model-Based Systems Engineering,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0948,Secure Computer Networks Systems,6
RTU,Computer Systems,DMD0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0388,Presentation Skills,3
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0834,Introduction to Cybersecurity,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0798,Reliability of Information Systems,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0828,Information Security and Personal Data Protection,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0831,Cybersecurity Solutions in High Performance Computing Environment,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0832,Control Fundamentals of Critical Infrastructures,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0833,Industrial Safety,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0836,Network Security,12
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0829,Software Security,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0684,Cryptography and Data Security Technologies,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0484,Design of Adaptive Systems,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0830,Engineering Systems Security,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0796,Sociotechnical Systems Modelling,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0642,Data Mining and Knowledge Discovery,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0778,Project Management,3
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0799,Secure E-Commerce Technologies,3
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0835,Data Integration Technologies,3
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,DE0738,Enterprise IT Architecture Applications and Integration,6
RTU,Cybersecurity Engineering,DMK0,"Faculty of Computer Science, Information Technology and Energy",Master,IV0288,Social Responsibility and Business Ethics,6
