university,programme,programme_code,faculty,level,course_code,course_name,ects
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0218,Marketing,6
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0227,Fundamentals of Finances,6
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0226,Business Planning,6
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0212,Project Management,6
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0213,Startup Development,6
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0701,Information Technology and Business Data Analysis,3
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0702,Business Intelligence Tools and Methods,3
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0762,Business Data Processing Automation,3
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0294,Enterprise Management,6
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0760,Personnel Management,3
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0288,Social Responsibility and Business Ethics,6
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0036,Taxes and Duties,4
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0042,Business Communication,4
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0035,International Economic Relations,4
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0050,Strategic Management,4
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0030,Coaching and Team Management,4
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0215,Investments,6
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0056,Management Information Systems,4
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0048,Business Risks,4
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0703,Data-Driven Decision Making,3
RTU,Entrepreneurship and Management,IBU0,Faculty of Engineering Economics and Management,Bachelor,IV0305,Process Analysis and Control,3
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0006,Marketing Management,7
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0032,Managerial Accounting,8
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0019,Organizational Behaviour and Management,7
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0029,Financial Reporting and Analysis,8
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0026,Statistics,8
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0021,Basic Financial Management,8
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0035,Management Accounting and Control,8
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0016,International Commercial Law,7
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0009,Strategy,7
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0090,Computer Lab,9
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0004,Research Methods,7
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0034,Financial Decision Making,7
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0091,Corporate Governance,6
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0017,International Business,7
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0005,Human Resource Management,6
RTU,International Business Management,IBX0,Riga Business School,Bachelor,BS0018,Consumer Behaviour,7
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0175,Fundamentals of Computer Science,5
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0286,Numerical Analysis in Engineering Mechanics,3
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0285,Engineering Measurements and Experiments,3
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0051,Methodology and Technique of Design,4
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0003,Machine Dynamics and Strength,3
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0060,Electro Pneumo and Hydro Automatics,4
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,SD0003,Innovative Product Development and Entrepreneurship,6
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0209,Computer-Aided Analysis of Mechanical Systems,5
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0183,Basics of Production Automation,5
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0047,Robot Kinematics,4
RTU,Engineering Technology Mechanics and Mechanical Engineering,MBM0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0062,Methods and Technology of Process Control,4
RTU,Aviation Transport,MCA0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0067,Modern Application Packages for Computers,4
RTU,Aviation Transport,MCA0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0555,Computer Design of Machines and Mechanisms,3
RTU,Aviation Transport,MCA0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0086,Engineering Diagnostics of an Aircraft,4
RTU,Aviation Transport,MCA0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0189,Technical Operation of Aircraft and Engines,5
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0221,Fundamentals of Quality Control and Monitoring,5
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0106,Medical Informatics,4
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0415,Medical Equipment Design,6
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0059,Micro- and Nanotechnologies,4
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0071,Computer Systems in Medicine,7
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,DE0340,Electronics in Medicine,3
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0402,Project Management,3
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,BM0421,Business Economics and Fundamentals of Marketing,4
RTU,Medical Engineering and Medical Physics,MCF0,Faculty of Civil and Mechanical Engineering,Bachelor,DE0424,The Basics of Artificial Intelligence in Medicine,4
